;;;;;;;;Where To Find (1);;;;Where To Find (2);;;;Where To Find (3);;;;Where To Find (4);;;
55;Clip;Ambrosio;39A;16/09/1968;;-;;Bed;2OE;82;25/03/99;Jewelry;Ambrosio;-;16/09/68;Curtain;Ambrosio;-;16/09/68;Book;Ambrosio;46B;17/09/68
56;Clip;Ambrosio;46B;17/09/1968;;-;;Branch;Ambrosio;42A;18/10/68;Breast;Ambrosio;24D;17/10/68;Curtain;Ambrosio;51A;18/09/68;Pillow;Ambrosio;46A;17/09/68
57;Secret;Ambrosio;46B;17/09/1968;;-;;;;;;;;;;;;;;;;;
58;Clip;Ambrosio;46A;17/09/1968;;xxx;;Diana Wills;Ambrosio;44;01/06/68;Clothes;Minsky;29;24/06/70;Pillow;Ambrosio;46B;17/09/68;Candle;Ambrosio;46B;17/09/68
59;Clip;Ambrosio;49B;18/09/1968;;xxx;White drink;Tray;Minsky;4A;26/07/70;Plate;2OE;58B;06/08/99;Pillow;Ambrosio;46A;17/09/68;Blood;Ambrosio;51A;18/09/68
60;Clip;Ambrosio;49D;18/09/1968;;-;White drink, little green bottle;Plate;2OE;58B;06/08/99;Tray;Ambrosio;49B;18/09/68;Blood;Ambrosio;51A;18/09/68;Candle;Ambrosio;46A;17/09/68
61;Clip;Ambrosio;51A;18/09/1968;;-;;Blood;Minsky;-;21/07/70;Curtain;Ambrosio;52A;19/09/68;Sofia Morgana;Ambrosio;49B;18/09/68;Milk;Ambrosio;49B;18/09/68
62;Secret;Ambrosio;51A;18/09/1968;;-;;;;;;;;;;;;;;;;;
63;Clip;Ambrosio;52A;19/09/1968;;xxx;;Blanket;Minsky;29;24/06/70;Cloth;Minsky;-;29/05/70;Gabriel;Ambrosio;56C;01/10/68;Curtain;Ambrosio;51A;18/09/68
64;Clip;Ambrosio;2C;20/09/1968;;-;Sofia and Jacintha at the church;Tear;2OE;60F;15/08/99;Background;Ambrosio;29C;24/09/68;Costume Designer;Ambrosio;62A;02/10/68;Diana Wills;Ambrosio;44;01/06/68
65;Clip;Ambrosio;7B;23/09/1968;;xxx;;2nd AC;Ambrosio;27A;24/09/68;Robert Jones;Ambrosio;-;19/10/68;TV;2OE;55A;29/07/99;Window;Minsky;6;22/06/70
66;Clip;Ambrosio;27A;24/09/1968;;xxx;;Candle;Ambrosio;46A;17/09/68;2nd AC;Ambrosio;7B;23/09/68;Painting;Ambrosio;6B;15/08/68;Clapperboard;Ambrosio;29C;24/09/68
67;Clip;Ambrosio;29C;24/09/1968;;-;Sofia at the church;Background;Ambrosio;2C;20/09/68;Sofia Morgana;Ambrosio;2C;20/09/68;Clapperboard;Ambrosio;27A;24/09/68;-;-;-;-
68;Clip;Ambrosio;53C;27/09/1968;;-;;Scales;Ambrosio;20B;23/08/68;Gabriel;Ambrosio;56C;01/10/68;Painting;Minsky;11B;16/08/70;Blood;Ambrosio;51A;18/09/68
69;Clip;Ambrosio;53D;27/09/1968;;-;Orange;Painting;Minsky;11B;16/08/70;Book;Ambrosio;53C;27/09/68;Magazines;2OE;55A;29/07/99;Fruit;Ambrosio;53C;27/09/68
70;Clip;Ambrosio;-;30/09/1968;;xxx;Marissa's interview, John Durick;Production Assistant;Ambrosio;6B;15/08/68;John Durick;Minsky;-;21/06/70;Marissa Marcel;2OE;-;25/09/99;Moon;Ambrosio;41A;18/10/68
71;Clip;Ambrosio;56C;01/10/1968;;-;Bleeding Sofia arrives to the mass, useful for clip #86;Gabriel;Ambrosio;52A;19/09/68;Terry Schneider;2OE;43;18/03/99;Blood;Minsky;-;21/07/70;Cloth;Minsky;3A;11/08/70
72;Secret;Ambrosio;56C;01/10/1968;;-;;;;;;;;;;;;;;;;;
73;Clip;Ambrosio;62A;02/10/1968;;-;Tree;Tree;Ambrosio;-;19/10/68;Dress;Ambrosio;59A;09/10/68;Crown;Ambrosio;-;08/06/68;Costume Designer;Ambrosio;-;19/10/68
74;Secret;Ambrosio;62A;02/10/1968;;-;;;;;;;;;;;;;;;;;
75;Clip;Ambrosio;62C;02/10/1968;;-;Robert falls;2nd AC;Ambrosio;62A;02/10/68;Robert Jones;Ambrosio;62A;02/10/68;Clapperboard;Ambrosio;62A;02/10/68;-;-;-;-
76;Clip;Ambrosio;63A;02/10/1968;;-;Robert, blood, eye;Terry Schneider;2OE;43;18/03/99;Blood;Minsky;-;21/07/70;Cloth;Minsky;3A;11/08/70;Tear;Ambrosio;2C;20/09/68
77;Clip;Ambrosio;59A;09/10/1968;;-;;Production Assistant;Ambrosio;-;30/09/68;Dress;Ambrosio;62A;02/10/68;Crown;Ambrosio;42A;18/10/68;Magazines;2OE;55A;29/07/99
78;Secret;Ambrosio;59A;09/10/1968;;-;;;;;;;;;;;;;;;;;
79;Clip;Ambrosio;60A;09/10/1968;;-;;Flower;Ambrosio;59A;09/10/68;Marissa Marcel;2OE;-;25/09/99;Robert Jones;Ambrosio;21A;14/08/68;Clapperboard;2OE;-;25/09/99
80;Clip;Ambrosio;61C;10/10/1968;;-;Lucifer;Satan;Ambrosio;42A;18/10/68;Smoke;Ambrosio;42A;18/10/68;Production Assistant;Ambrosio;-;30/09/68;Noise;Minsky;-;15/04/69
81;Secret;Ambrosio;61C;10/10/1968;;-;;;;;;;;;;;;;;;;;
82;Clip;Ambrosio;57B;11/10/1968;;xxx;Close-up of Marissa's face;2nd AC;Ambrosio;61C;10/10/68;Painting;Ambrosio;6B;15/08/68;Clapperboard;Ambrosio;61C;10/10/68;Marissa Marcel;Ambrosio;59A;09/10/68
83;Clip;Ambrosio;58B;14/10/1968;;-;Mirror;Tear;Ambrosio;2C;20/09/68;Eye;2OE;52B;27/07/99;Mirror;Minsky;-;28/08/70;Candle;Ambrosio;6B;15/08/68
84;Clip;Ambrosio;22A;15/10/1968;;-;Sepulcher scene, Agnes and actress from video #2 show up;Prioress;Ambrosio;4;08/06/68;Penelope;Ambrosio;4;08/06/68;Jane;Ambrosio;55;09/06/68;Tree;Ambrosio;-;19/10/68
85;Clip;Ambrosio;23A;15/10/1968;;xxx;Bird;Bird;Ambrosio;16B;11/09/68;Wings;Ambrosio;61C;10/10/68;Cross;Ambrosio;3A;05/08/68;Crucifix;Ambrosio;3A;05/08/68
86;Clip;Ambrosio;55D;16/10/1968;;-;Short clip of bloody cross;Cross;Ambrosio;3A;05/08/68;Crucifix;Ambrosio;3A;05/08/68;2nd AC;Ambrosio;23A;15/10/68;Hands;Ambrosio;42A;18/10/68
87;Clip;Ambrosio;24A;17/10/1968;;-;;Costume Designer;Ambrosio;-;19/10/68;2nd AC;Ambrosio;42A;18/10/68;Painting;Ambrosio;6B;15/08/68;Clapperboard;Ambrosio;42A;18/10/68
88;Clip;Ambrosio;24D;17/10/1968;;-;Naked Marissa, John Durick;Breast;Ambrosio;62A;02/10/68;Pillar;2OE;69B;08/09/99;Candle;Ambrosio;6B;15/08/68;Painting;Minsky;11B;16/08/70
89;Secret1;Ambrosio;24D;17/10/1968;;-;;;;;;;;;;;;;;;;;
90;Secret2;Ambrosio;24D;17/10/1968;;-;Reverse of reverse;;;;;;;;;;;;;;;;
91;Secret3;Ambrosio;24D;17/10/1968;;-;Reverse of reverse of reverse!;;;;;;;;;;;;;;;;
92;Clip;Ambrosio;41A;18/10/1968;;xxx;;Globe;Minsky;33B;10/08/70;Lantern;2OE;67A;07/09/99;Bag;2OE;27;15/03/99;Basket;2OE;55A;29/07/99
93;Clip;Ambrosio;42A;18/10/1968;;-;Lucifer, blood;Satan;Ambrosio;-;19/10/68;Branch;Ambrosio;41;08/06/68;Smoke;Ambrosio;61C;10/10/68;Noise;Minsky;-;15/04/69
94;Secret1;Ambrosio;42A;18/10/1968;;-;;;;;;;;;;;;;;;;;
95;Secret2;Ambrosio;42A;18/10/1968;;-;Reverse of reverse;;;;;;;;;;;;;;;;
96;Clip;Ambrosio;42D;18/10/1968;;-;Bleeding hand, knife;Blood;Minsky;-;21/07/70;Knife;Ambrosio;42A;18/10/68;Razor;Minsky;-;21/07/70;Scissors;Minsky;-;21/07/70
97;Clip;Ambrosio;-;19/10/1968;;xxx;Afterparty, Gino and all main characters are here;Satan;Ambrosio;42A;18/10/68;Gino De Giorgio;Ambrosio;5B;21/08/68;Tree;Ambrosio;62A;02/10/68;Makeup Artist Ambrosio;Ambrosio;42A;18/10/68
98;Clip;Minsky;-;15/04/1969;;-;Talkshow with Marissa. Useful clip, reveals good info to start with;Jimmy;Minsky;-;16/02/72;Smoke;Ambrosio;42A;18/10/68;ID;2OE;55A;29/07/99;Noise;Minsky;-;15/04/69
99;Secret1;Minsky;-;15/04/1969;;-;Unavailable from the start? I only found it later revisiting clips;;;;;;;;;;;;;;;;
100;Secret2;Minsky;-;15/04/1969;;-;Reverse of reverse;;;;;;;;;;;;;;;;
101;Secret3;Minsky;-;15/04/1969;;-;Reverse of reverse of reverse!;;;;;;;;;;;;;;;;
102;Secret4;Minsky;-;15/04/1969;;-;And so on;;;;;;;;;;;;;;;;
103;Secret5;Minsky;-;15/04/1969;;-;;;;;;;;;;;;;;;;;
104;Clip;Minsky;-;23/12/1969;;-;Wig, John Durick;Wig;Minsky;22B;29/07/70;Trunk;Minsky;-;29/05/70;TV;2OE;55A;29/07/99;Frame;Minsky;-;29/05/70
105;Clip;Minsky;-;28/05/1970;;-;Deviants' screentest;Glasses;2OE;30;15/03/99;Ass;Minsky;19B;17/08/70;Susie;Minsky;22B;29/07/70;Debbie;Minsky;44A;20/07/70
106;Secret;Minsky;-;28/05/1970;;-;;;;;;;;;;;;;;;;;
107;Clip;Minsky;-;29/05/1970;;-;Marissa's portrait being painted, Douglas;Paint;Minsky;11B;16/08/70;Trunk;Minsky;-;23/12/69;Brush;Minsky;29C;23/08/70;Douglas Simons;Minsky;1A;09/08/70
108;Clip;Minsky;-;01/06/1970;;-;Marissa and Carl's chemistry test;Camera;Minsky;3A;11/08/70;Watch;2OE;17C;02/05/99;Clock;2OE;17C;02/05/99;Kiss;Minsky;-;29/05/70
109;Clip;Minsky;41;08/06/1970;;-;Rooftop location scout, John Durick;City;2OE;51A;20/07/99;Cigarette;Minsky;21A;20/08/70;Script;Minsky;30;09/06/70;John Durick;Minsky;-;21/06/70
110;Clip;Minsky;30;09/06/1970;;-;Studio exterior location scout, John Durick;Trash;Minsky;16;11/06/70;Kiss;Minsky;35;11/06/70;Script;Minsky;14;10/06/70;John Durick;Minsky;-;21/06/70
111;Clip;Minsky;14;10/06/1970;;-;Script reading with Carl;Bird;Minsky;-;31/07/70;Watch;2OE;17C;02/05/99;Clock;2OE;17C;02/05/99;Ring;Minsky;13C;30/07/70
112;Clip;Minsky;16;11/06/1970;;xxx;Frankie's apartment exterior location scout;Trash;Minsky;30;09/06/70;Car;Minsky;36A;22/07/70;Tear;Ambrosio;2C;20/09/68;Eye;Minsky;-;28/05/70
113;Clip;Minsky;35;11/06/1970;;-;Goodman's apartment location scout, Carl;Boxes;Minsky;40B;05/08/70;Pillow;2OE;73A;16/09/99;Lamp;Minsky;14;10/06/70;Carl Greenwood;Minsky;4A;26/07/70
114;Clip;Minsky;9;11/06/1970;;-;Location scout, keys;Keyhole;Minsky;10B;13/08/70;Key;Minsky;10B;13/08/70;Marissa Marcel;2OE;-;25/09/99;Door;Minsky;16;11/06/70
115;Clip;Minsky;6;22/06/1970;;-;Carl, deviants;Hat;2OE;12B;14/04/99;Susie;Minsky;22B;29/07/70;Debbie;Minsky;-;28/05/70;Eddie;Minsky;44A;20/07/70
116;Clip;Minsky;-;21/06/1970;;xxx;John Durick;Camera;Minsky;6;22/06/70;Statue;2OE;51A;20/07/99;Ashtray;Minsky;-;13/08/70;Sculpture;Minsky;22B;29/07/70
117;Clip;Minsky;7;23/06/1970;;-;Carl, Walker;Ruby;Minsky;-;31/07/70;Detective Walker;Minsky;13C;30/07/70;Notepad;Minsky;6;22/06/70;Photo;Minsky;31;26/06/70
118;Clip;Minsky;-;23/06/1970;;xxx;Marissa and Carl's costume test;TV;2OE;55A;29/07/99;Costume Designer;Minsky;19B;17/08/70;Jewelry;2OE;24C;10/05/99;Feet;2OE;51A;20/07/99
119;Clip;Minsky;1;24/06/1970;;-;Douglas, mask, straw;Douglas Simons;Minsky;1A;09/08/70;Lips;2OE;55A;29/07/99;Cloth;Minsky;-;29/05/70;Couch;Minsky;29;24/06/70
120;Clip;Minsky;18;24/06/1970;;-;Carl;Bowl;2OE;55A;29/07/99;Pot;2OE;14C;23/04/99;Champagne;Minsky;-;31/07/70;Cocktail;Minsky;-;31/07/70
121;Clip;Minsky;29;24/06/1970;;-;Carl;Blanket;Minsky;3A;11/08/70;Shoes;Minsky;29C;23/08/70;Cloth;Ambrosio;52A;19/09/68;Couch;2OE;35A;10/06/99
122;Clip;Minsky;14;25/06/1970;;-;Carl;Clothes;Minsky;29;24/06/70;Paper;Minsky;13C;30/07/70;Feet;Minsky;-;23/06/70;Curtain;Ambrosio;40E;20/08/68
123;Clip;Minsky;31;26/06/1970;;-;Ruby, Carl, Walker;Ruby;Minsky;-;31/07/70;Poster;Minsky;-;21/07/70;Couch;2OE;35A;10/06/99;Detective Walker;Minsky;7;23/06/70
124;Clip;Minsky;26;26/06/1970;;-;Olga, Carl;Natassia;Minsky;24A;25/08/70;Clothes;Minsky;29;24/06/70;Water;Minsky;-;29/05/70;Glass;2OE;39B;18/06/99
125;Clip;Minsky;-;26/06/1970;;-;Marissa and Carl kiss;Lamp;Minsky;-;23/06/70;Kiss;Minsky;29;24/06/70;Marissa Marcel;2OE;-;25/09/99;Carl Greenwood;Minsky;-;31/07/70
126;Secret1;Minsky;-;26/06/1970;;-;;;;;;;;;;;;;;;;;
127;Secret2;Minsky;-;26/06/1970;;-;Reverse of reverse;;;;;;;;;;;;;;;;
128;Secret3;Minsky;-;26/06/1970;;-;Reverse of reverse of reverse!;;;;;;;;;;;;;;;;
129;Clip;Minsky;43A;19/07/1970;;-;Carl, graffiti;Carl Greenwood;Minsky;4A;26/07/70;Photo;Minsky;7;23/06/70;Door;Minsky;36A;22/07/70;Moon;Ambrosio;41A;18/10/68
130;Clip;Minsky;44A;20/07/1970;;-;Deviants, masks, gallery staff;Background;Minsky;23C;25/08/70;Susie;Minsky;22B;29/07/70;Debbie;Minsky;-;28/05/70;Eddie;Minsky;22B;29/07/70
131;Secret;Minsky;44A;20/07/1970;;-;;;;;;;;;;;;;;;;;
132;Clip;Minsky;42B;21/07/1970;;-;Carl, salt and pepper;Shaker;Minsky;-;13/08/70;Property Master;Minsky;17A;30/08/70;Poster;Minsky;-;21/07/70;Photo;Minsky;4A;26/07/70
133;Clip;Minsky;-;21/07/1970;;-;Carl hairdressing, blood;Makeup Artist;Minsky;17A;30/08/70;Towel;Minsky;29C;23/08/70;Dummy;2OE;40A;26/06/99;Terry Schneider;2OE;43;18/03/99
134;Clip;Minsky;42D;21/07/1970;;-;Short clip of ashtray;Hookah;Minsky;-;23/12/69;Ruby;Minsky;-;31/07/70;Susie;Minsky;22B;29/07/70;Ashtray;Minsky;42B;21/07/70
135;Clip;Minsky;36A;22/07/1970;;-;Carl, car;Car;Minsky;16;11/06/70;Tree;Ambrosio;-;19/10/68;Ladder;Minsky;33B;10/08/70;Coffee;Minsky;2B;23/07/70
136;Clip;Minsky;2B;23/07/1970;;-;Carl, salt and pepper;Shaker;Minsky;-;13/08/70;Dummy;2OE;40A;26/06/99;Statue;Minsky;-;21/07/70;Notepad;2OE;58B;06/08/99
137;Clip;Minsky;-;24/07/1970;;-;Carl, kiss;Kiss;Minsky;22B;29/07/70;Marissa Marcel;2OE;-;25/09/99;Carl Greenwood;Minsky;-;31/07/70;Hands;Minsky;-;24/07/70
138;Secret;Minsky;-;24/07/1970;;-;;;;;;;;;;;;;;;;;
139;Clip;Minsky;4A;26/07/1970;;-;Carl, Olga, gallery staff;Signature;Minsky;11B;16/08/70;Background;Minsky;23C;25/08/70;Douglas Simons;Minsky;1A;09/08/70;Tray;Ambrosio;49B;18/09/68
140;Clip;Minsky;3D;26/07/1970;;-;Olga, snake;Natassia;Minsky;24A;25/08/70;Snake;Minsky;4A;26/07/70;Jewelry;Minsky;40B;05/08/70;Eye;Ambrosio;36A;16/09/68
141;Clip;Minsky;4B;27/07/1970;;-;Carl;Champagne;Minsky;-;31/07/70;Cocktail;Minsky;-;31/07/70;Milk;Ambrosio;51A;18/09/68;Cigarette;Ambrosio;-;19/10/68
142;Secret;Minsky;4B;27/07/1970;;-;;;;;;;;;;;;;;;;;
143;Clip;Minsky;-;29/07/1970;;-;Behind the scenes in the warehouse, Eddie;Ass;Minsky;19B;17/08/70;Eddie;Minsky;22B;29/07/70;Pillar;Minsky;22B;29/07/70;Statue;2OE;51A;20/07/99
144;Clip;Minsky;22B;29/07/1970;;-;Carl, deviants, wig;Andy;Minsky;-;23/12/69;Ass;Minsky;19B;17/08/70;Susie;Minsky;44A;20/07/70;Couch;2OE;35A;10/06/99
